"","from_id","travel_time7","travel_time2","travel_time3","travel_time4","travel_time5","travel_time6","travel_time1","average"
"432","42101980701",62,58,59,64,69,74,79,66.4285714285714
"433","42091200103",147,150,97,99,104,109,114,117.142857142857
"434","42017104702",116,117,122,127,132,137,142,127.571428571429
"435","42017100201",103,106,109,107,109,114,119,109.571428571429
"436","42045406402",133,138,143,148,127,127,132,135.428571428571
"437","42101980903",57,59,56,57,58,54,56,56.7142857142857
"438","42091202301",84,89,64,64,69,74,79,74.7142857142857
"439","42091201800",60,65,68,60,62,67,71,64.7142857142857
"440","42091201411",103,103,108,113,118,123,126,113.428571428571
"441","42091200602",150,155,160,163,143,145,148,152
"442","42091201606",89,89,94,97,79,81,86,87.8571428571429
"443","42091204104",84,85,90,95,98,103,108,94.7142857142857
"444","42091205402",90,92,84,85,86,81,85,86.1428571428571
"445","42091980300",84,85,90,95,100,105,108,95.2857142857143
"446","42101036600",47,47,49,50,51,51,47,48.8571428571429
"447","42101008601",36,39,37,38,37,36,36,37
"448","42101980400",56,61,64,53,55,60,65,59.1428571428571
"449","42101033200",87,90,93,95,82,84,86,88.1428571428571
"450","42101008301",46,49,51,49,43,43,46,46.7142857142857
"451","42101009200",46,48,48,48,50,46,48,47.7142857142857
"452","42101011900",54,59,63,55,56,61,64,58.8571428571429
"453","42101012204",60,54,57,62,67,54,54,58.2857142857143
"454","42101015200",41,37,38,39,35,37,40,38.1428571428571
"455","42101018400",84,89,91,82,85,90,94,87.8571428571429
"456","42101019900",47,42,45,50,50,40,41,45
"457","42101038800",83,79,80,80,79,78,79,79.7142857142857
"458","42101024700",47,43,44,46,48,46,43,45.2857142857143
"459","42101027800",46,44,43,44,47,45,43,44.5714285714286
"460","42101030200",56,57,55,55,57,57,55,56
"461","42101031200",72,73,72,74,78,79,76,74.8571428571429
"462","42101033300",80,75,74,75,77,77,77,76.4285714285714
"463","42101033900",86,65,63,65,70,75,77,71.5714285714286
"464","42101035500",92,90,92,90,91,92,90,91
"465","42101035800",100,100,105,110,115,120,125,110.714285714286
"466","42101034702",69,67,69,71,73,74,69,70.2857142857143
"467","42045403002",108,100,100,105,110,115,120,108.285714285714
"468","42045406201",156,143,139,118,122,127,132,133.857142857143
"469","42045400500",59,57,58,60,53,55,58,57.1428571428571
"470","42045404101",120,125,130,110,110,115,120,118.571428571429
"471","42101010400",41,41,44,39,40,40,42,41
"472","42101010500",40,42,39,39,44,46,35,40.7142857142857
"473","42101039001",59,58,59,64,68,57,58,60.4285714285714
"474","42101039002",86,80,76,80,85,90,91,84
"475","42101014201",33,34,32,32,33,33,32,32.7142857142857
"476","42101000701",19,20,20,18,18,19,19,19
"477","42091205806",96,101,104,96,98,101,93,98.4285714285714
"478","42091203402",120,125,130,135,136,104,108,122.571428571429
"479","42091206007",148,153,157,139,140,145,150,147.428571428571
"480","42101008802",34,35,38,32,33,35,31,34
"481","42101013900",38,34,38,39,36,37,37,37
"482","42101015102",40,35,38,41,37,39,42,38.8571428571429
