"","from_id","travel_time7","travel_time2","travel_time3","travel_time4","travel_time5","travel_time6","travel_time1","average"
"137","42101030100",58,59,66,63,61,58,62,61
"138","42101037300",60,55,54,72,68,63,60,61.7142857142857
"139","42101024100",44,43,47,47,45,44,48,45.4285714285714
"140","42045404400",96,108,109,108,103,98,97,102.714285714286
"141","42045402000",76,73,71,79,76,74,76,75
"142","42101000300",23,28,23,21,23,23,23,23.4285714285714
"143","42101009802",56,76,74,69,67,70,80,70.2857142857143
"144","42101016300",50,52,50,48,51,50,53,50.5714285714286
"145","42029304101",161,NA,NA,NA,NA,NA,NA,NA
"146","42091201705",88,83,78,73,71,89,86,81.1428571428571
"147","42017101401",95,94,132,128,123,118,113,114.714285714286
"148","42091204103",92,96,94,89,87,109,106,96.1428571428571
"149","42101000102",39,41,41,42,42,41,44,41.4285714285714
"150","42101038301",66,62,61,65,61,60,64,62.7142857142857
"151","42101001203",34,33,29,34,33,29,33,32.1428571428571
"152","42101001002",33,33,31,29,29,30,31,30.8571428571429
"153","42101023500",68,93,92,87,82,77,73,81.7142857142857
"154","42101003702",36,40,36,34,38,35,33,36
"155","42101006600",36,36,36,36,36,36,36,36
"156","42101008801",29,30,32,31,31,32,30,30.7142857142857
"157","42101013100",36,36,34,35,37,37,39,36.2857142857143
"158","42101020300",32,32,35,35,37,36,34,34.4285714285714
"159","42101034100",74,73,92,92,89,84,79,83.2857142857143
"160","42101017602",54,55,51,55,54,51,54,53.4285714285714
"161","42091202402",74,69,64,62,81,81,79,72.8571428571429
"162","42091203104",114,111,106,106,117,113,108,110.714285714286
"163","42101015600",36,40,36,35,39,35,34,36.4285714285714
"164","42101031900",80,82,84,83,80,80,78,81
"165","42101000901",21,19,19,20,19,19,20,19.5714285714286
"166","42101003901",32,31,33,32,31,32,32,31.8571428571429
"167","42101008702",31,30,44,43,42,43,43,39.4285714285714
"168","42101020000",39,36,37,42,40,35,33,37.4285714285714
"169","42101025400",74,69,69,73,68,68,72,70.4285714285714
"170","42101018802",46,52,60,56,51,46,46,51
"171","42045403702",95,90,85,84,102,98,93,92.4285714285714
"172","42045402400",67,67,67,67,67,67,67,67
"173","42091203602",95,115,110,105,100,95,94,102
"174","42091204007",104,99,94,92,114,111,106,102.857142857143
"175","42101000702",25,25,25,24,24,24,25,24.5714285714286
"176","42017100102",131,126,121,116,111,106,103,116.285714285714
"177","42029300103",156,155,170,166,161,156,151,159.285714285714
"178","42045400802",73,75,74,69,69,77,73,72.8571428571429
"179","42101001001",37,36,34,33,35,38,37,35.7142857142857
"180","42101021900",101,96,91,86,86,107,102,95.5714285714286
"181","42045403001",123,118,113,108,103,98,95,108.285714285714
"182","42045405100",123,118,113,112,151,147,142,129.428571428571
"183","42045402200",94,91,88,90,88,85,93,89.8571428571429
"184","42045402600",66,65,67,63,62,69,66,65.4285714285714
"185","42101001101",28,28,27,26,25,25,26,26.4285714285714
"186","42101036502",105,137,133,128,126,140,137,129.428571428571
"187","42101007900",37,39,39,39,39,39,38,38.5714285714286
"188","42101012000",71,68,66,66,69,76,72,69.7142857142857
"189","42101021700",74,70,87,86,81,76,74,78.2857142857143
"190","42101031402",65,64,67,66,66,68,65,65.8571428571429
"191","42091202000",74,69,69,76,87,84,79,76.8571428571429
"192","42091200307",88,83,82,128,124,119,114,105.428571428571
"193","42101016800",46,41,41,45,43,43,44,43.2857142857143
"194","42045402500",53,53,53,53,53,53,53,53
"195","42045401104",90,85,80,75,75,95,90,84.2857142857143
"196","42101010900",37,36,45,41,36,35,44,39.1428571428571
"197","42101026900",74,70,88,87,82,80,78,79.8571428571429
"198","42045401103",90,85,81,89,88,83,81,85.2857142857143
"199","42091205600",84,79,74,69,68,88,84,78
"200","42101001700",38,34,33,37,36,38,36,36
"201","42101002701",30,41,36,31,30,41,37,35.1428571428571
"202","42101007400",34,34,34,35,35,35,34,34.4285714285714
"203","42101016600",36,38,37,35,34,36,37,36.1428571428571
"204","42101017701",48,47,46,47,48,47,47,47.1428571428571
"205","42101019700",53,50,58,58,54,51,49,53.2857142857143
"206","42101025200",58,59,57,54,65,63,58,59.1428571428571
"207","42101018801",59,58,59,56,56,61,58,58.1428571428571
"208","42101001301",39,40,45,44,39,39,43,41.2857142857143
